Arquivo,Algoritmo,Exec1,Exec2,Exec3,Exec4,Exec5,Media
nomes100k.txt,bubble,191.277000,189.156000,188.535000,188.802000,188.595000,189.273000
nomes100k.txt,shell,0.131350,0.122188,0.121556,0.121183,0.121608,0.123577
nomes100k.txt,heap,0.115468,0.115008,0.115745,0.115860,0.115486,0.115513
nomes100k.txt,merge,0.059646,0.059207,0.059192,0.059062,0.059178,0.059257
nomes100k.txt,quick,0.079701,0.081103,0.082223,0.080115,0.079895,0.080607
nomes250k.txt,shell,0.359185,0.358485,0.355739,0.359459,0.357257,0.358025
nomes250k.txt,heap,0.316829,0.311066,0.310253,0.310448,0.310337,0.311787
nomes250k.txt,merge,0.155511,0.155545,0.154866,0.162816,0.159610,0.157670
nomes250k.txt,quick,0.251728,0.264957,0.261384,0.268802,0.272373,0.263849
nomes500k.txt,shell,0.706608,0.704611,0.711728,0.767387,0.720062,0.722079
nomes500k.txt,heap,0.679380,0.697734,0.690259,0.667474,0.683936,0.683757
nomes500k.txt,merge,0.327802,0.324869,0.328119,0.341997,0.343025,0.333162
nomes500k.txt,quick,0.749481,0.723433,0.723648,0.709027,0.725591,0.726236
nomes1m.txt,shell,1.528420,1.514600,1.541270,1.563380,1.554290,1.540392
nomes1m.txt,heap,1.517650,1.501510,1.546140,1.509330,1.494880,1.513902
nomes1m.txt,merge,0.713497,0.710536,0.716421,0.703471,0.725882,0.713961
nomes1m.txt,quick,2.281090,2.185510,2.223980,2.261360,2.211660,2.232720
nomes100k.txt,selection,131.168000,131.761000,131.956000,134.587000,131.504000,132.195200
nomes100k.txt,insertion,63.581800,63.573300,63.581600,63.567700,63.854100,63.631700
nomes250k.txt,bubble,1144.130000,1144.870000,1144.490000,1183.490000,1183.250000,1160.046000
nomes250k.txt,selection,847.831000,855.999000,903.950000,912.137000,820.028000,867.989000
nomes250k.txt,insertion,386.350000,386.817000,385.591000,385.721000,386.641000,386.224000
